Title,Latitude,Longitude,PowerKW,charging_station_type,anno
nuova_colonnina,46.12184212542637,11.117558946694437,22,slow,2032
nuova_colonnina,46.11650037,11.088196063185418,50,fast,2031
nuova_colonnina,46.07121759999907,11.12968039999415,22,slow,2035
nuova_colonnina,46.10547912,11.108483199322292,22,slow,2031
nuova_colonnina,46.038250015985604,11.11266817110789,22,slow,2028
nuova_colonnina,46.0481025,11.063631600006275,50,fast,2033
nuova_colonnina,46.052683466532486,11.134131720179452,50,fast,2035
nuova_colonnina,46.10742130376467,11.108813021208654,50,fast,2026
Q8,46.10001060000426,11.11172709999471,50,fast,2025
nuova_colonnina,46.050846636775844,11.125109149432674,22,slow,2035
nuova_colonnina,46.01394856776958,11.128221563955105,50,fast,2033
nuova_colonnina,46.083735188569655,11.155906940470985,50,fast,2034
nuova_colonnina,46.06332377688799,11.096979053971022,50,fast,2035
nuova_colonnina,46.011144943408006,11.154695922363643,22,slow,2027
nuova_colonnina,46.04157929436268,11.123501031799858,22,slow,2030
nuova_colonnina,46.085111269525754,11.069938669963422,50,fast,2035
nuova_colonnina,46.03164343,11.112887335860014,50,fast,2030
nuova_colonnina,46.06954185814268,11.130927239752355,22,slow,2035
Pub Moby Dick,46.13211727043069,11.133608298837943,50,fast,2034
nuova_colonnina,46.10470948047791,11.10999133937818,50,fast,2032
nuova_colonnina,46.04271160000048,11.061810599995283,50,fast,2034
nuova_colonnina,46.099425048783786,11.107968551141367,50,fast,2033
nuova_colonnina,46.05626875317538,11.127817115539418,50,fast,2035
Agritur alle Gorghe,46.13117609072275,11.14024309102317,50,fast,2033
nuova_colonnina,46.13138433527064,11.13453808410716,22,slow,2027
Casa Serena,46.07198463704035,11.14471119782373,22,slow,2034
nuova_colonnina,46.13037658378972,11.121163988572096,50,fast,2030
nuova_colonnina,46.046696251003596,11.119847683307192,50,fast,2035
nuova_colonnina,46.03556826441519,11.104553704879647,50,fast,2032
nuova_colonnina,46.10589962199596,11.114887846314765,22,slow,2027
nuova_colonnina,46.059675949996944,11.133773500001036,50,fast,2031
nuova_colonnina,46.10808553751634,11.11030482085385,22,slow,2030
nuova_colonnina,46.04759198694395,11.126709428189336,22,slow,2035
Retitalia,46.007557300001906,11.127091299998288,50,fast,2025
nuova_colonnina,46.00881186044455,11.126308071846212,22,slow,2025
